abandon,"1.freedom from constraint
2.withdraw"
apprehension,"1.suspicion or fear
2.understand"
apprise,inform
approbation,approval
appropriate,"1.take possession without permission
2.suitable"
apropos,"1.relevant
2.having to do with"
apt,"1.suitable
2.intelligent and responsive"
archaic,no current
archetype,ideal example
ardor,strong enthusiasm or devotion
arduous,difficult
anthropogenic,influence of human beings
arrest,"1.stopping to a standstill
2.keep under one’s control
3.hold attention"
arresting,attracting
arrhythmic,lacking regularity
arrogance,overbearing pride
articulate,"1.clearly distinctly
2.able to express clearly"
ascendant,dominant influence
ascetic,self-denial
aseptic,preventing infection
askew,awry
aspect,appearance
asperity,"1.roughness
2.rigor, severity"
aspersion,harm reputation
aspirant,aspire
assent,agree
assert,declare forcefully
assertive,self-assured
assess,"1.determine value
2.charge penalty"
assiduous,careful
assuage,lessen intensity
astounding,amazement
astute,shrewdness
asunder,apart
asylum,protection
asymmetrical,no balance
atone,amend
atrocious,extremely wicked
attenuate,lessen
audacious,fearlessly recklesssly
augur,tell beforehand
authentic,exactly
authority,"1.a high level of knowledge
2.lawful control"
autocracy,government with unlimited power
autonomy,"1.self-governing
2.independence"
avarice,insatiable
aver,state forcefully
averse,dislike
avid,enthusiasm
awash,"filled, covered overrun"
awe,"dread, veneration and wonder"
awkward,"1.lacking dexterity
2.a lack of skill and tact"
avant-garde,develop new concept
awry,off course
axiomatic,self-evident
babble,utter meaningless
backhanded,indirect
badger,harass persistently
badinage,banter
bait,"1.lead away
2.something luring"
bale,sorrow
baleful,harmful
balk,"1.check obstcale
2.unwillingness"
balky,refusing
balderdash,n.having no meaning
balloon,increase
balm,soothe
banal,trite
bane,kill or injure a living thing
banish,leave a country
banter,humored
barb,a critical remark
barbarous,mercilessly harsh
barefaced,brazen
bargain,"1. an agreement
2. negotiate"
baroque,"complex, flamboyant"
barrage,an overwhelming outpouring
barren,"1. unproductive
2. deficient"
barricade,"1. an obstruction
2. prevent access"
barter,trade without money
beguile,believe what is untrue
bathetic,commonplace
befuddle,throw into mental uncertainty
bedeck,make more attractive
belabor,"1. criticize
2. explain excessively"
beleaguer,trouble
belie,"1. shut off from view
2. be counter to"
bellwether,one that takes the lead
beneficent,"1. charitable
2. contributing to social well-being"
benign,not causing hurt
berate,scold vehemently
beseech,beg
besmirch,detract from the honor
bifurcate,divide into two branched
bigot,a person obstinately devoted to his own opinions
bland,dull
blandishment,something that tends to coax or cajole
blasé,apathetic
blast,"1. an explosion
2. cause to break open
3. criticize harshly"
blatant,noticeable
blazon,"1. make known openly
2. make more attractive
"
blemish,"1. a noticeable imperfection
2. make more attractive"
blight,"1. affect with blight
2. impair"
bliss,ecstasy
blithe,"1. happy, lighthearted
2. having freedom from worries"
blueprint,work out in advance
blunder,"1. an error
2. make a mistake"
blunt,"1. make less sharp
2. direct, brief"
blur,"1. become vague
2. make unclear "
blurt,utter abruptly
bluster,"1. speak in an arrogant manner
2. noisy "
boggle,hesitate
boisterous,noisily turbulent
bolster,"1. provide support
2. give a boost to"
bombast,pompous speech
bonhomie,geniality
boo,a sound uttered to show contempt
boon,benefit
boorish,impolite
bootless,useless
bound,"1. a limit
2. fully committed"
boycott,engage in a concerted refusal
bracing,giving strength
brake,proceed at a less rapid pace
brash,bold
brassy,displaying rude boldness
bravado,"1. a pretense of bravery
2. swaggering conduct"
bravura,brilliant technique in performance
brazen,"1. contemptuously bold
2. face with self-assurance"
breach,fail to keep
brevity,shortness
bribe,give money to a person to influence his conduct
bridle,keep from exceeding
brisk,marked by much life or activity
bristle,express one's anger
brittle,"1. easily broken
2. lacking in friendlyness"
broach,present for discussion
bromide,a hackneyed statement
brook,tolerate
browbeat,intimidate
bruit,make the subject of common talk without authority
buck,refuse assent
budge,cease resistance
bulge,a protuberant
bully,a person who treats others in an intimidating manner
bumptious,having a feeling of supreority
bungle,work clumsily
buoy,fill with courage or strength
buoyant,showing a good mood
burgeon,grow rapidly
burlesque,make fun of
burnish,make smooth or glossy
buttress,provide evidence or information for
byzantine,complicated or secretive
cache,a supply
cachet,"1. an approval
2. prestige"
cacophony,inharmonious sound
cavalier,"1. a courtly gentleman
2. having a feeling of superiority"
cajole,wheedle
calcify,make inflexible or unchangeable
calibrate,standardize
calligraphy,elegant handwriting
callous,unfeeling
callow,lacking in adult experience
calumniate,utter false statements
camaraderie,a spirit of friendly fellowship
catharsis,elimination of a complex
camouflage,behavior to deceive or hide
canard,a deliberately misleading story
candor,honest expression
canon,"1. a standard or criterion
2. the authentic works of a writer"
canvass,"1. examine carefully
2. solicit votes or orders"
capitulate,give up all resistance
caprice,change one's mind impulsively
captivate,attract by charm
careworn,showing grief
cardinal,paramount
caricature,"1. exaggeration
2. copy or exaggerate to make fun of"
carnal,"1. relating to the physical
2. worldly"
carouse,drink liquor freely
carp,bound by very close association
cliquish,bound by very close association
cast,"1. put forth
2. get rid off"
castigate,criticize harshly and publicly
catalyze,be the cause of 
catastrophe,"1. a tragedy
2. utter failure"
categorical,absolute
catholic,not limited or specialized
caustic,marked by incisive sarcasm
caveat,a warning of a specific limitation
cavil,quibble
cataclysmal,bringing about ruin
cede,surrender possession of 
cement,a uniting or binding force
censor,examine or delete
concomitant,present at the same time and place
censure,express public disapproval of 
chic,being in the latest fashion
cessation,the stopping of a process
chaff,make jokes
chagrin,distress of mind
chameleon,a person who changes opinions
champion,support as a champion
compulsive,caused by an irrisistible urge
chimera,an illusion or fabrication
charlatan,a person who makes fraudulent
chary,cautious
chase,force out
chasm,a pronounced difference
chauvinistic,showing excessive favorism
check,"1. arrest abruptly
2. be in agreement"
cherubic,chubby and rosy
chicanery,deception
chide,scold mildly
choleric,easily angered
chord,agree
chromatic,relating to color
chronic,marked by frequent recurrence
churlish,showing impolite manners
cipher,a method of transforming a text to conceal its meaning
circuitous,not being forthright
circumlocution,the use of too many words to express an idea
circumscribe,restrict
circumspect,prudent
circumvent,avoid having to comply with
civility,politeness
chokehold,a force that stops something from growing
clandestine,kept in secret
clarion,loud and clear
clarity,lucidity
clasp,the act of holding
clement,"1. tolerant and kind
2. marked by temperatures that are neither too high nor too low"
cliché,a hackneyed theme
clog,"1. something that makes movement
2. creat difficulty"
clot,"1. a number of things considered as a unit
2. turn from liquid into jelly"
cordial,"1. showing a natural kindness
2. having a renewing effect"
clout,influence
cloying,excessively sweet
clumsy,lacking nimbleness
coagulate,clot
coalesce,fuse
coax,cajole
coda,the concluding passage
coerce,achieve by force
coeval,of the same age
cogent,"1. convincing
2. pertinent"
cognizant,aware
collapse,be unsuccessful
collude,act together secretly
colossal,immense
coltish,given to good-natured joking
coma,a state of profound unconsciousness
combustible,"1. capable of igniting
2. easily excited"
cluster,small number of persons
comity,social harmony
commencement,"1. a start
2. the ceremonies for conferring degrees"
commend,praise
commensurate,"1. equal in measure or extent
2. proportionate"
commingle,blend thoroughly
commitment,"1. a state of being obligated
2. the act of revealing one's view of "
committed,loyal
commodious,"spacious, roomy"
commonsensical,displaying common sense
commotion,an agitated disturbance
compendium,"a brief summary, abstract"
complacency,a feeling of self-satisfaction
complaisance,"disposition to comply, affability"
compliant,submissive
compliment,"1. praise
2. honor"
clownish,acting in a funny way
compose,"1. constitute
2. calm"
compound,"1. bring together
2. make worse"
compress,reduce in size or volumn
compromise,"1. settle by mutual concessions
2. place in danger"
compunction,anxiety of guilt
concatenate,bring together
concoct,invent to deceive someone
conceal,prevent disclosure
concede,grant as a privilege
concentrate,"1. come together
2. make less dilute"
concerted,planned or accomplished together
conciliate,lessen the anger
commonplace,heard so often as to be dull
concord,accord
concur,"1. express agreement
2. occur at the same time; joint                                                                    "
condescending,displaying a superior attitude
condign,deserved
condole,express sympathetic sorrow
condone,"overlook, forgive"
conducive,promote or assist
cantankerous,showing a bad temper
confine,keep within limits
confluence,come together to the same point
confront,come face to face with hostility
confound,"1. throw into uncertainty
2. prove to be false"
congeal,change from a fluid to a soid state
congenial,having agreement
congruent,"1. being in harmony
2. coinciding"
conjecture,"1. a conclusion deduced by surmise
2. form an opinion from no evidence"
connive,cooperate secretly
connoisseur,"1. a person with a high level of knowledge
2. a person who enjoys with apperciation of art"
conscientious,"1. governed by conscience
2. showing great care"
consensus,general agreement
consequence,"1. something produced by a cause
2. importance"
conservative,"1. tending to oppose change
2. not excessively showy"
conservatory,"1. a greenhouse
2. a school specializing in fine arts"
consilience,linking together
considerable,"1. sufficiently large in size
2. a school specializing in fine arts"
console,"alleviate the grief, comfort"
consolidate,make firm
consonant,being in agreement
conspicuous,obvious
conspire,plan secretly
constitute,"1. appoint to an office
2. make up "
constrain,force by imposed restriction
constringe,draw together
construct,"1. appoint to an office
2. make up "
consummate,"1. extremely skilled
2. perfect "
contagious,"1. communicable by contact
2. exciting a similar feeling "
contaminate,stain
content,"1. appease the desire of
2. the idea that is conveyed through various ways "
contentious,"1. argumentative
2. exhibiting a wearisome tendency"
contiguous,sharing an edge
contort,twist
contract,"1. a binding agreement
2. reduce in size
3. become affected by a disease"
contravene,"violate, oppose"
contrite,showing sorrow and remorse
contumacious,disobedient
conundrum,a dilemma
convalesce,recover gradually
cloak,conceal truly identity
convention,"1. general agreement
2. a coming together"
converge,move toward one
conversant,familiar
convert,alter the physical nature
consort,be together as friends
cagey,not willing to say
conviction,"1. the state of being convinced
2. state of being proved guilty"
convoke,bring together
convoluted,complicated
convulsion,a violent disturbance
coop,confine
copious,abundant
coquette,flirt
countervail,exert force against
cornucopia,an overflowing store
coronation,the act of crowning a sovereign
corporeal,"1. not spiritual
2. not immaterial"
corroborate,"1. support with evidence
2. provide evidence for"
corrosive,"1. tending to destroy slowly
2. bitingly sarcastic"
corrugated,shaped into a series of folds
cosmopolitan,having worldwide scope
cosset,pamper
countenance,"1. put up with
2. have a favorable opinion of"
counterfeit,"1. made in imtation
2. make a fraudulent replica of"
countermand,revoke
court,seek the affections of
covert,not openly shown
covetous,marked by inordinate desire
cow,frighten with threats
cowardice,lack of courage
cower,cringe in fear
cozen,mislead by fraud
cramped,uncomfortably small or restricted
crass,crude and unrefined
crave,have an intense desire for
craven,lacking courage
contingency,something that might happen
credence,firm belief
credulous,gullible
caterwaul,make unpleasant sound
creep,slowly
crescendo,peak
crest,the top
crestfallen,depressed
cronyism,favoritism friends
crook,away from a straight line
croon,murmuring
culminate,triumphant conclusion
crucial,extremely significant
crumple,bend
crutch,supports
crux,crirical point
cryptic,"1. secret
2. beyond one's powers to know"
culpable,deserving blame
cultivate,"1. improve
2. promote growth"
cumbersome,difficult to handle
cunning,artful deceptiveness
curmudgeon,irritable and complaining
cursory,excessive or careless speed
curt,"direct, brief, and potentially rude"
curtail,less in extent or duration
cynic,selfishness
dabble,superficially
daft,lack of good sense or judgement
dazzling,reflecting much light
dally,doing nothing
damper,restrains; depresses
dandy,appearance
dank,wet
dapper,strikingly neat and trim
dappled,marked with small spots
daredevil,foolishly
dart,"1. suddenly
2. intended to hurt another's fellings"
daunt,to lessen the courage
dawdle,slowly
deadpan,impassively
dearth,inadequate
debacle,complete failure
debark,unload from a ship or an airplane
debase,lower standing
debilitate,impair strength
debris,discarded useless material
debunk,true nature
debut,first appearance
decadence,deterioration or decline
detest,dislike
decipher,"1. interpret
2. clear idea"
decode,"1. change into ordinary language
2. clear idea"
decorous,refined society and good taste
decrepit,weakened
default,nonperformance
defer,postpone
document,show truth by evidence
deficiency,inadequate
devious,lie and trick
deft,skill
defuse,make less tense
defy,confront with resistance
dehydrate,"1. remove water
2. deprive of vitality"
deify,high status or value to
deject,lower the spirits; dishearten
deleterious,harmful
deliberate,careful
delicacy,fineness
delirium,mental disturbance
delusion,false 
deluge,"1. drenching rain
2. great flow"
delve,detailed search for information
demagogue,"leader, false claims"
demanding,"1. satisfied
2. requiring careful attention"
demolition,destroying
demonstrate,make clear by using examples
demoralize,"1. dishearten
2. lower in character"
demotic,common
demur,opposition; object
denigrate,scornfully
disingenuous,not truly honest
denounce,public or formal disapproval
dent,make smaller
denude,bare
deplete,make complete use of
deplore,hate or dislike 
deploy,spread out
deportation,removal from a country
depose,"1. testify
2. remove from a throne"
deposit,"1. accumulation
2. put in account"
depravity,"immoral, harmful, offensive"
deprecate,"1. unfavorable opinion
2. express scornfully"
depreciate,lower value
depressed,unhappiness
deprivation,privation
deracinate,pull out
derelict,lacking duty; carelessly
deride,contemptuous mirth
derivative,lacking originality
descend,"1. downward
2. pass by inheritance"
divination,foretelling future
desecrate,treat shamefully
desiccate,deprive vitality
designate,"1. to pick for a specific position or duty
2. give a name to"
despicable,loathing and disgust
despise,dislike strongly
despotic,tyrannical
desultory,lacking plan
detach,separate
detain,hold; keep
deter,prevent; discourage
deterioration,sinking
detour,away from standard
detract,"1. diminish
2. draw attention"
detritus,"product of disintegration, destruction; debris"
devoted,loyalty; devotion
devout,allegiance
dexterous,"1. ready skilled
2. mentally adroit, skillful"
diabolic,devil
diaphanous,"1. vague insubstantial
2. transparent, translucent"
diatribe,long scolding
didactic,teach
diehard,"determined, devoted/ opposes change and refuses new ideas"
dovish,live in peace
diffuse,"1. verbose
2. extend,scatter"
digress,turn aside main subject
dilapidate,ruin
dilate,enlarge; expand; wide
dilatory,cause delay; procrastination
dilettante,"superficial interest, lacking expert skill"
diligent,"steady, earnest, energetic"
dilute,"1. less concentrated
2. low strength, concentration"
diminish,"1. smaller; less
2. lessen; belittle"
disquisition,systematic search
dingy,darkened; dirty
diocesan,diocese
diplomatic,tact
dire,"1. fear
2. immediate; urgent"
demography,changes in human populations
disabuse,"free from error, fallacy, misconception"
disaffected,"discontented, rebellious"
disarm,lessen
disarray,"1. lack order
2. undo order, arangement"
disavow,disclaim; not true
discern,perceive; detect
discharge,"1. dismiss
2. free"
disciple,follower
discombobulate,"upset,confuse"
discomfit,"1. embarrassment
2. prevent"
discommode,trouble
discompose,"1. disturb composure; perturb
2. undo order, arrangement"
disconcert,disturb
discord,lack agreement harmony
discredit,"1. damage reputation; disgrace
2. not true, real"
discrepancy,"divergence, disagreement"
discrete,separate
discretion,"1. discreet; circumspection
2. checking"
discretionary,one's own discretion
discriminate,"1. perceive distinguishing; recognize
2. dffenerce"
discursive,without order
disdain,scorn
disengage,set free from entanglement
disgorge,discharge; vomit
disgruntle,discontented
dignified,"serious, formal"
disinclination,"lack willingness, desire"
disinfect,free from infection
disjointed,not connected
disinter,take out
disinterested,free from selfish; unbiased
disjunctive,breaks or disunity
dismantle,pieces; destroy integrity
dismay,"1. lose courage
2. trouble, uneasy"
disparage,"lower, disrespectful"
disparate,"distinct, different, dissimiliar"
dispassionate,unaffected
dispatch,"1. promptness
2. one place to another"
dispose,"1. tendency; incline
2. get rid of; throw out"
disregard,"1. no attention
2. lack of interest or concern"
dissect,"examine, analyze minute"
dissemble,FALSE
disseminate,spread; promulgate
dissension,difference; disagreement
dissent,"1. differ
2. departure accepted"
dissipate,"1. drive away; 
2. disperse"
dissolute,restraint; indulging
dissolve,"1. solution; melt
2. break into parts; disintegrate"
dissonance,"disagreeable, discord"
dissuade,deter persuasion or exhortation
distain,"lose honor, respect reputation"
distal,situated away
distend,expand
distill,increase; purify
distort,twist
distract,draw direct different
distraught,agitated
diurnal,daytime
diverge,"1. differnent directions from central point
2. diffenert;differ"
diversity,variety multiformity
divert,"1. deflect
2. agreeably"
divestiture,taking away
divulge,known confidence or secret
dodder,progress unsteadily
dodge,avoid
doff,take off; remove
dogged,sticking to
dogmatic,strongly held opinions
doldrums,inactivity
dolorous,misery grief
dolt,stupid
domicile,provide domicile
dominant,"1. controlling others
2. genetic dominance"
don,put on
donor,donates
doodle,"1. aimlessly
2. aimless activity"
dormant,inactivity;inoperative;in abeyance
dour,harsh
douse,put out
downplay,minimize significance
doom,determine the fate
doyen,knowledgeable; experience
doze,lightly
draconian,harsh
drawl,speak slowly
dreary,nothing cheer
drench,wet thoroughtly
drivel,meaningless
diminutive,less than average
drollness,amusing
drone,talk monotonous
drudgery,tedious work
dubious,uncertainty;questionable
ductile,easily led
dulcet,melodious
dullard,stupid
dupe,"1. easily deceived
2. deceive"
duplicitous,cheating
dwindle,gradually less
dyspeptic,bad-tempered
earnest,"serious, grave"
embryonic,early stage
earsplitting,distressingly loud
eavesdrop,listen secretly
ebullient,zestfully
eccentric,deviating conventional
eclat,success
eclipse,diminish importance
ecstasy,intense joy
ecumenical,worldwide
edible,eaten
edifice,"1. massive structure
2.basic form"
efface,make indistinct
effervesce,high spirits
effete,depleted
effluvium,offensive smell
effrontery,disregard courtesy
effulgent,resplendent
effusive,unrestrained in emotional expression
egalitarian,promoting equal rights
egoistic,centered in oneself
elaborate,"1. complexity
2. in detail"
elastic,"1. resuming shape
2. recovering from depression"
elate,fill with joy
eleemosynary,charity
elegy,expressing sorrow
elephantine,"1. enormous size
2. clumsy
"
elevate,"1. improve
2. raise spirits"
elicit,bring out 
elliptical,"1. obscurity
2. ellipse"
elucidate,make lucid
emaciate,feeble
emancipate,free
embargo,prohibition on commerce
embark,start
embarrass,experience distress
embed,enclose
embezzle,appropriate
embolden,instill courage
emboss,ornament with raised work
embrace,"willingly, eagerly"
embroider,give elaborate account
emigrate,leave
eminent,above others
emollient,less intense
emulate,excel through imitation
enact,establish
enamel,adorn
encomium,praise
encompass,include
encumber,impede
endemic,to a particular region
endorse,express approval
enervate,weaken
enfranchise,"1. endow rights
2. set free"
engender,cause
engross,occupy exclusively
enigma,hard to understand
enlighten,"inform, instruct"
enmity,mutual hatred
ennoble,noble
ennui,"listlessness, lack of interest"
expostulate,reason for dissuasion
ensconce,hiding
ensue,afterward
entangle,make complete or difficult
episodic,lacking in steadiness
entice,tempt
entrance,fill with wonder
entrap,lure
entreat,ask urgently
enunciate,"1.articulate
2.openly or publicly "
ephemeral,very short time
epic,surpassing the usual
epicure,one with discriminating tastes
epigram,"a short,witty poem"
epilogue,a concluding section
epithet,descriptive  name
epitomize,represent
equable,serene
equity,lack of favoritism
equivalent,equal
equivocate,equivocal
empirical,based on observation
errant,straying from standards
erratic,not constant
erudite,learned
escalate,increase
eschew,avoid
esoteric,difficult to understand
espouse,support
esteem,respect
estimable,admirabie
estrange,arouse enmity
etch,produce a vivid impression
eternal,everlasting
ethereal,"1.delicate 
2.spiritual"
ethics,rules governing conduct
eulogize,speak in high praise of
euphemism,inoffensive expression
euphonious,pleasing to the ear
euphoria,overwhelming usually pleasurable
evacuate,empty or remove
evanescent,vanish
entail,cause
everlasting,lasting forever
evict,expel
evince,make known
evoke,call up
exacerbate,severe
exacting,"1.rigorous
2.repuiring effort"
exalt,praise
exasperate,excite
excavate,dig out
exceptional,extraordinary
excoriate,criticize harshly
excrete,discharge
excruciate,inflict pain
exculpate,clear from fault
excursive,passing from one topic to another
execrate,dislike strongly
exemplary,being a pattern to be imitated
exempt,release from liability
exhaust,consume entirely
exhilarate,make cheerful
exhort,urge
exigent,immediate
exodus,departure
exonerate,free from blame
exorbitant,exceeding the customary or appropriate limits
exotic,unusual
expansive,readiness to talk
expediency,doing convenient
expedite,speed up the progress 
expiate,extinguish  the guilt
expire,"1.die 
2.come to an end"
explicit,"1.fully revealed or expressed 
2.fully developed "
exploit,"1.notable act 
2.employ        "
exponent,one that advocates
expurgate,remove
exquisite,appeal to a refined taste
extant,not destroyed
extemporize,perform without prior preparation
extenuate,lessen the seriousness
extinct,no longer existing
extinguish,put out
extol,praise
extort,force
extract,take out
encyclopedic,covering everything
extraneous,no relevance
extravagant,"1.spending money freely
2.beyond normal limit"
extricate,free from entanglement
exuberant,joyously unrestrained
exude,flow forth
exult,rejoice
fable,"1.story of upernatural happenings
2.statement made in order to deceive"
fabricate,make up
facetious,joking
facile,lack of depth
facilitate,make easy
faction,a party that is often contentious
fallacious,containing fallacy
fallow,untilled
fail-safe,"1.preclude loss
2.no chance of failure"
falsehood,untrue; made in order to deceive
falter,"1. walk unsteadily
2. unsteady in purpose or action"
fanatic,"1. unreasoning enthusiasm
2. intense uncritical devotion"
fantasy,"1.imaginative fiction
2. form a mental picture"
farce,ridiculous
fascinate,hold an intense interest
fast,"1. abstaining from food
2. firm in one's allegiance"
fastidious,meticulous attention to detail
fateful,momentous
fathom,come to understand
fatigue,weariness or exhaustion
fatuous,foolish
faultfinder,petty criticism
favorable,promote
fawn,seek favor by flattery
faze,disturb the composure
feckless,"1. having no worth
2. careless"
fecund,fruitful
feeble,lacking in strength
feign,give a false appearance
foreshadow,prefigure
feral,not domesticated
fertilize,make fertile
fervid,"1. high temperature
2. great passion"
forte,special talent
fester,corrupt
fetid,offensive smell
fetter,restrain from motion
fiasco,complete failure
fickle,likely to change
fictitious,not real
fidelity,being faithful
figurative,denoting another
fractious,unruly
filibuster,for the purpose of delaying legislative action
filter,pass through a filter
finale,closing part
finesse,"1. skill
2. keep away from"
finicky,extremely meticulous
flaccid,lacking firmness
flag,become feeble
flamboyant,strikingly elaborate
flatter,praise excessively
flaw,"1. imperfection
2. reduce perfection"
fledgling,starting out in a field
fleet,with great speed
flexible,"1. readily changed
2. susceptible to influence"
flinch,draw back
flippancy,unbecoming levity
flirt,behave amorously
flit,pass quickly
flock,travel in a flock
florid,full of fancy expressions
flounder,act clumsily
flourish,achieve success
flout,treat with disregard
flabby,lacking strength
fluent,able to express well
fluky,happening by good luck
flush,"1. abundance
2. pour liquid"
fluster,put into agitated confusion
foible,minor flaw
foil,prevent from being successful
foment,promote the growth
foolproof,"leave no opportunity for error, misuse, or failure"
footloose,having no attachments
forbearance,tolerance and restraint
forebear,an ancestor
forestall,prevent beforehand
foreword,preface
forge,"1. imitate falsely
2. form"
formidable,requiring effort
forthright,"1. free in expressing opinions
2. going straight to the point"
fortify,give physical strength
foster,help the growth
founder,"1. one establishes
2. fail utterly"
fracas,physical dispute; noisy fight
fracture,"1. breaking
2. separate into pieces"
fragile,broken
frail,"1. weak
2. weak"
fraudulent,fraud
fraught,full
frenzy,mental agitation
fretful,vexed
far-fetched,not likely to be true
friable,easily crumbled
friction,"1. rubbing
2. clashing"
frigid,"1. cold
2. lacking warmth"
fringe,border
frivolous,"1. unbecoming levity
2. little importance"
frothy,gaily frivolous
frowsy,slovenly
frugal,economy
fungible,substituted in place of one another
full-bodied,importance
fulminate,thunderous denunciation
fumble,awkward attempts
furor,intense excitement
furtive,stealth
fury,rage
fussy,"1. involving great care
2. hard to please"
fusty,"1. old-fashioned
2. stale odors"
futile,ineffective
gadfly,provocative stimulus
gaffe,social blunder
gainsay,declare false
gall,irritate
gallant,brave; chivalrous
galvanize,stimulate; excite
gamble,bet
gambol,playfully
gag,a joke
garble,distort; misleading
gargantuan,tremendous
garish,strident color
generic,no particularly distinctive quality
garrulous,tiresomely talkative
guardian,defend
gleam,light
gauche,lacking grace
gaudy,excessively showy
gauge,"1. measurement; standard
2. determine"
gear,adjust
genial,easygoing
genteel,free from vulgarity
germane,relevant
gibe,taunting words
giddy,lacking in seriousness
gild,deceptively attractive
gist,main point
gigantic,large
glaze,coat; glaze
glib,"1. fluency; insincere; deceitful
2. lacking depth"
glisten,shine; sparkling
glitch,minor malfunction
gloat,self-satisfaction
gloomy,low; spirits
gloss,"1. brief explanation; obscure
2. too lightly"
glossy,smooth surface
glut,beyond capacity
glutinous,glue
glutton,immoderate food
goad,incite; rouse
gobble,eat greedily
goggle,look
goldbrick,shirk responsibilities
gorge,"1. canyon
2. eat greedily"
gossamer,"1. insubstantial
2. light"
grimy,not clean
gourmet,connoisseur; food
grandeur,grand
grandiloquent,extravagantly; bombastic
grandiose,grandeur
grandstand,impress
grate,"1. rasping
2. irritate"
gratify,desired; please
gratuitous,"1. unwarranted
2. without return"
green,deficient; experience
gregarious,"1. enjoy the company
2. group with others"
grieve,deep sadness
glamorous,magical power to attract
grin,express an emotion
gripe,dissatisfaction
grisly,repugnance
groove,take pleasure in
grotesque,unpleasant
grovel,draw back; fearful submission
grueling,requiring
guile,misleading
gull,untrue
glean,collect
groundless,no basis in reason
